,player,team,season,plays,epa_cpoe_composite,epa_per_play,unadjusted_epa_per_play,success_rate,comp_pct,expected_comp_pct,cpoe,air_yards,mvp,epa_per_play_rank
1,A.Rodgers,,2020,609,0.217,0.37,0.362,55.20%,74.3,67.1,7.2,8,Yes,1
3,R.Tannehill,,2020,567,0.184,0.34,0.329,55.60%,67.9,65.2,2.7,8.3,No,2
4,P.Mahomes,,2020,694,0.179,0.323,0.311,55.00%,68.4,65.6,2.8,8.4,No,3
2,J.Allen,,2020,727,0.19,0.292,0.282,56.30%,72.3,65.7,6.6,8.6,No,4
5,T.Brady,,2020,682,0.167,0.274,0.249,50.90%,68.1,64.4,3.7,9.2,No,5
7,R.Fitzpatrick,,2020,318,0.155,0.247,0.245,56.00%,69.3,65.9,3.4,7.7,No,6
6,D.Watson,,2020,698,0.165,0.228,0.219,53.40%,73,66.5,6.5,8.9,No,7
12,P.Rivers,,2020,596,0.133,0.226,0.212,50.70%,70,69.2,0.8,7.3,No,8
9,K.Cousins,,2020,611,0.149,0.213,0.186,52.70%,72,67.4,4.6,8,No,9
10,D.Carr,,2020,607,0.138,0.213,0.172,51.90%,70.9,68.3,2.6,8.3,No,10
11,B.Mayfield,,2020,576,0.138,0.209,0.195,52.60%,67.3,64.5,2.8,8.7,No,11
13,D.Brees,,2020,422,0.131,0.209,0.19,50.90%,72.6,71,1.6,6.2,No,12
15,D.Prescott,,2020,254,0.117,0.192,0.157,55.10%,69.3,69,0.3,7.8,No,13
14,L.Jackson,,2020,576,0.121,0.19,0.181,47.90%,66.7,65.7,1,8.7,No,14
8,R.Wilson,,2020,702,0.152,0.188,0.165,51.30%,72.2,65.3,6.8,8.4,No,15
18,J.Herbert,,2020,702,0.11,0.177,0.172,48.70%,68.2,68.2,0,7.4,No,16
21,M.Stafford,,2020,620,0.102,0.171,0.142,50.50%,66.5,67.5,-1,8.9,No,17
16,K.Murray,,2020,736,0.116,0.16,0.139,50.30%,71,68.8,2.2,8,No,18
20,M.Ryan,,2020,721,0.106,0.148,0.143,48.80%,67.5,66.3,1.2,8.5,No,19
19,J.Burrow,,2020,485,0.106,0.136,0.122,49.10%,67.3,65.2,2.1,8.5,No,20
23,M.Trubisky,,2020,354,0.098,0.13,0.117,53.40%,67.9,66.8,1.1,7.8,No,21
24,B.Roethlisberger,,2020,673,0.086,0.129,0.12,47.80%,65.8,66.9,-1.1,6.9,No,22
17,T.Bridgewater,,2020,598,0.113,0.127,0.109,49.80%,72.5,68.5,4,7.3,No,23
25,J.Goff,,2020,626,0.083,0.093,0.06,48.70%,70.5,69.6,0.9,6.7,No,24
22,G.Minshew II,,2020,394,0.102,0.092,0.087,47.50%,69.9,65.6,4.3,8,No,25
28,N.Mullens,,2020,365,0.057,0.073,0.013,47.70%,66.1,68.7,-2.6,6.4,No,26
26,C.Newton,,2020,546,0.062,0.063,0.046,48.70%,68.2,69.2,-1,7,No,27
27,A.Dalton,,2020,398,0.057,0.041,0.021,48.50%,67.9,68.4,-0.4,6.7,No,28
29,T.Tagovailoa,,2020,353,0.05,0.034,0.01,48.20%,66.2,67.4,-1.2,7.8,No,29
33,D.Lock,,2020,519,0.022,0.021,-0.012,43.50%,59.6,65.2,-5.6,9,No,30
31,D.Jones,,2020,577,0.035,0.007,-0.019,45.60%,64.8,67.1,-2.2,7.7,No,31
30,N.Foles,,2020,349,0.043,-0.041,-0.054,41.50%,67.6,65.9,1.7,8.1,No,32
35,C.Wentz,,2020,565,0.011,-0.054,-0.075,42.50%,60.2,63.8,-3.6,8.9,No,33
32,A.Smith,,2020,290,0.022,-0.079,-0.094,42.80%,70.6,71.4,-0.8,5.2,No,34
36,D.Haskins,,2020,280,-0.004,-0.085,-0.112,40.00%,63.2,68.7,-5.5,6.8,No,35
34,S.Darnold,,2020,447,0.014,-0.1,-0.12,42.30%,64.2,66.1,-1.9,7.8,No,36
1,L.Jackson,,2019,605,0.191,0.344,0.342,51.90%,68.7,64.8,3.8,8.8,Yes,1
3,P.Mahomes,,2019,596,0.169,0.298,0.294,51.70%,67.9,65.4,2.5,8.8,No,2
2,R.Tannehill,,2019,360,0.19,0.275,0.232,55.30%,72.3,64.6,7.7,9.7,No,3
4,D.Brees,,2019,410,0.168,0.24,0.238,54.10%,77,70.9,6.1,6.6,No,4
8,M.Stafford,,2019,335,0.14,0.224,0.21,49.90%,65.8,63.8,2.1,10.4,No,5
9,D.Prescott,,2019,698,0.133,0.222,0.21,52.90%,67.4,66.4,1,9.3,No,6
5,K.Cousins,,2019,525,0.148,0.213,0.199,48.40%,72.9,68.5,4.4,7.7,No,7
10,J.Garoppolo,,2019,576,0.132,0.201,0.168,51.00%,70.8,68.4,2.4,6.5,No,8
11,D.Watson,,2019,644,0.129,0.197,0.184,50.30%,68.9,67,2,8.7,No,9
7,D.Carr,,2019,581,0.141,0.177,0.151,49.40%,75.1,69.4,5.7,6.6,No,10
6,R.Wilson,,2019,667,0.147,0.173,0.15,49.90%,69.2,62.2,7,9.3,No,11
12,P.Rivers,,2019,679,0.118,0.145,0.11,50.80%,68.3,64.6,3.7,8.8,No,12
13,A.Rodgers,,2019,678,0.101,0.144,0.136,45.70%,65.6,65,0.7,8.9,No,13
14,J.Winston,,2019,752,0.097,0.134,0.093,49.10%,62.9,62.2,0.7,10.6,No,14
18,T.Brady,,2019,693,0.075,0.116,0.1,44.00%,64.3,66.4,-2.1,7.8,No,15
19,J.Goff,,2019,712,0.074,0.107,0.077,46.30%,64.9,66.7,-1.8,7.9,No,16
16,R.Fitzpatrick,,2019,619,0.079,0.103,0.081,48.80%,63,63.6,-0.6,9.1,No,17
20,J.Brissett,,2019,555,0.064,0.103,0.084,47.60%,64.2,67.4,-3.3,7.9,No,18
15,M.Ryan,,2019,729,0.091,0.1,0.072,47.70%,69.2,67.4,1.8,8.3,No,19
17,C.Wentz,,2019,737,0.077,0.099,0.09,49.40%,65.1,65.7,-0.6,8,No,20
24,B.Mayfield,,2019,649,0.049,0.057,0.036,44.20%,61.8,64.7,-3,8.5,No,21
21,K.Murray,,2019,707,0.056,0.055,0.038,44.60%,67.5,69,-1.5,7.4,No,22
22,J.Allen,,2019,624,0.055,0.053,0.043,44.90%,62.4,64.1,-1.6,9.5,No,23
23,C.Keenum,,2019,287,0.054,0.044,0.017,47.40%,66.7,67.8,-1.1,6.9,No,24
27,A.Dalton,,2019,613,0.038,0.033,0.005,44.40%,62.3,65.6,-3.3,8.2,No,25
31,G.Minshew II,,2019,594,0.03,0.019,0.001,42.90%,63.2,67,-3.8,7.4,No,26
26,D.Jones,,2019,573,0.039,0.014,-0.021,43.60%,63.5,65.5,-1.9,8,No,27
29,M.Rudolph,,2019,334,0.037,-0.004,-0.025,41.60%,64.2,65.5,-1.2,8.2,No,28
28,K.Allen,,2019,581,0.037,-0.008,-0.037,47.30%,65.4,66.4,-1,8.4,No,29
25,S.Darnold,,2019,526,0.046,-0.015,-0.028,42.80%,65.9,64.9,1,8.7,No,30
32,M.Trubisky,,2019,625,0.026,-0.022,-0.033,44.60%,64.8,67.1,-2.3,7.9,No,31
30,J.Flacco,,2019,315,0.036,-0.025,-0.045,43.50%,68.4,68.6,-0.2,6.8,No,32
33,D.Haskins,,2019,258,-0.002,-0.151,-0.185,40.30%,60.7,65.4,-4.7,8.7,No,33
2,P.Mahomes,,2018,695,0.205,0.38,0.363,53.40%,68.3,63.8,4.5,9.1,Yes,1
1,D.Brees,,2018,550,0.214,0.37,0.368,58.00%,75.5,69,6.5,7.2,No,2
6,P.Rivers,,2018,579,0.158,0.251,0.241,51.30%,69,65.4,3.6,7.8,No,3
5,M.Ryan,,2018,707,0.161,0.248,0.223,52.90%,70.9,66.6,4.3,8.6,No,4
7,B.Roethlisberger,,2018,755,0.147,0.248,0.236,51.50%,68.3,66.5,1.7,7.8,No,5
4,R.Fitzpatrick,,2018,306,0.165,0.244,0.205,51.00%,66.9,61.7,5.2,10.4,No,6
3,R.Wilson,,2018,556,0.17,0.227,0.202,49.50%,70,62.5,7.5,9.2,No,7
8,M.Trubisky,,2018,553,0.135,0.213,0.197,51.70%,67.8,65.8,2,9,No,8
9,J.Goff,,2018,654,0.132,0.213,0.196,51.20%,67.7,66.1,1.5,8.7,No,9
10,J.Winston,,2018,477,0.131,0.199,0.168,51.20%,65.4,63.2,2.2,10.8,No,10
12,T.Brady,,2018,631,0.124,0.199,0.195,52.60%,67.9,66.9,1,8,No,11
14,A.Luck,,2018,727,0.117,0.184,0.166,51.30%,68.4,67.5,0.8,7.5,No,12
11,D.Watson,,2018,694,0.13,0.161,0.155,50.70%,70.1,65.4,4.7,8.5,No,13
15,N.Mullens,,2018,317,0.11,0.149,0.118,48.30%,67.4,65.5,1.9,7.2,No,14
13,C.Wentz,,2018,479,0.121,0.133,0.103,50.30%,70.5,65.4,5.1,7.9,No,15
19,A.Rodgers,,2018,721,0.089,0.13,0.129,47.70%,64.7,65.3,-0.6,8.8,No,16
23,A.Dalton,,2018,426,0.075,0.129,0.096,49.30%,63.3,66.3,-3,8.2,No,17
24,J.Flacco,,2018,431,0.071,0.111,0.105,47.80%,62.9,65.5,-2.6,8.8,No,18
16,C.Newton,,2018,611,0.1,0.105,0.09,50.10%,70.5,67.4,3,7.3,No,19
18,B.Mayfield,,2018,570,0.089,0.103,0.079,46.80%,65.7,64.4,1.3,9.4,No,20
21,E.Manning,,2018,657,0.079,0.087,0.07,43.40%,67,66.6,0.5,7.3,No,21
